iter	Passed	Remaining
0	1	172
1	3	165
2	4	159
3	6	149
4	8	152
5	9	149
6	11	146
7	12	142
8	13	139
9	15	136
10	16	134
11	18	132
12	19	130
13	20	128
14	22	128
15	27	146
16	29	144
17	31	141
18	32	138
19	34	137
20	36	137
21	38	135
22	39	132
23	41	129
24	42	128
25	44	126
26	45	124
27	47	121
28	48	119
29	50	118
30	52	116
31	54	115
32	55	113
33	60	116
34	61	114
35	63	112
36	64	110
37	66	108
38	69	108
39	71	107
40	73	106
41	74	102
42	75	100
43	77	98
44	79	96
45	81	95
46	82	93
47	84	91
48	85	89
49	86	86
50	88	85
51	90	83
52	94	83
53	96	82
54	98	80
55	100	78
56	101	76
57	103	75
58	105	73
59	107	71
60	109	69
61	111	68
62	113	66
63	115	65
64	117	63
65	124	63
66	125	61
67	127	59
68	128	57
69	130	55
70	133	54
71	135	52
72	137	50
73	138	48
74	140	46
75	144	45
76	147	43
77	149	42
78	151	40
79	152	38
80	155	36
81	156	34
82	158	32
83	160	30
84	161	28
85	163	26
86	165	24
87	166	22
88	169	20
89	170	18
90	172	17
91	174	15
92	176	13
93	178	11
94	180	9
95	181	7
96	183	5
97	185	3
98	187	1
99	189	0
