iter	Passed	Remaining
0	2	2460
1	3	1836
2	4	1657
3	6	1557
4	7	1471
5	8	1465
6	10	1438
7	11	1395
8	12	1364
9	13	1343
10	15	1378
11	16	1366
12	17	1354
13	19	1351
14	20	1359
15	21	1339
16	22	1325
17	24	1310
18	25	1297
19	26	1305
20	27	1303
21	29	1313
22	30	1303
23	32	1307
24	33	1301
25	34	1293
26	35	1285
27	36	1279
28	38	1288
29	40	1297
30	41	1291
31	42	1283
32	44	1310
33	46	1306
34	47	1305
35	48	1302
36	49	1296
37	51	1301
38	52	1295
39	53	1294
40	55	1286
41	57	1301
42	58	1309
43	60	1308
44	61	1302
45	63	1306
46	64	1301
47	65	1298
48	66	1295
49	68	1292
50	69	1298
51	70	1294
52	72	1293
53	73	1291
54	75	1290
55	76	1285
56	77	1280
57	78	1275
58	79	1271
59	81	1269
60	82	1265
61	83	1261
62	84	1256
63	86	1264
64	87	1260
65	88	1257
66	90	1254
67	91	1249
68	92	1254
69	94	1251
70	95	1248
71	96	1244
72	98	1245
73	99	1242
74	101	1245
75	102	1243
76	103	1240
77	105	1241
78	106	1239
79	107	1237
80	108	1234
81	110	1233
82	110	1224
83	112	1221
84	113	1217
85	115	1222
86	116	1223
87	117	1221
88	119	1220
89	120	1219
90	122	1221
91	123	1220
92	124	1217
93	126	1215
94	127	1214
95	129	1223
96	131	1221
97	132	1219
98	133	1216
99	135	1216
100	137	1224
101	140	1238
102	142	1239
103	144	1244
104	148	1263
105	150	1267
106	152	1269
107	154	1272
108	155	1274
109	157	1275
110	159	1276
111	160	1275
112	162	1273
113	163	1270
114	166	1282
115	168	1283
116	169	1280
117	171	1284
118	173	1284
119	174	1282
120	176	1282
121	177	1278
122	179	1277
123	180	1275
124	182	1276
125	184	1277
126	185	1274
127	187	1274
128	188	1275
129	190	1274
130	191	1271
131	193	1270
132	194	1268
133	196	1266
134	197	1266
135	199	1264
136	201	1268
137	202	1267
138	204	1265
139	205	1262
140	207	1262
141	208	1257
142	209	1254
143	211	1256
144	213	1259
145	215	1260
146	216	1258
147	218	1256
148	219	1255
149	221	1254
150	222	1252
151	224	1250
152	226	1254
153	227	1252
154	229	1253
155	231	1252
156	232	1250
157	234	1248
158	235	1245
159	236	1243
160	238	1241
161	239	1240
162	241	1238
163	242	1236
164	244	1239
165	246	1237
166	247	1234
167	249	1234
168	250	1232
169	252	1230
170	253	1228
171	254	1227
172	256	1227
173	258	1227
174	260	1226
175	261	1224
176	263	1223
177	264	1220
178	265	1218
179	267	1217
180	268	1216
181	270	1214
182	271	1212
183	273	1213
184	275	1212
185	276	1211
186	278	1209
187	279	1207
188	281	1205
189	282	1204
190	284	1203
191	286	1204
192	287	1203
193	289	1202
194	290	1200
195	292	1199
196	293	1197
197	295	1196
198	296	1194
199	298	1192
200	299	1191
201	301	1190
202	302	1188
203	304	1187
204	305	1185
205	307	1183
206	308	1182
207	310	1180
208	311	1179
209	313	1178
210	314	1176
211	316	1176
212	318	1175
213	319	1173
214	320	1171
215	322	1169
216	324	1169
217	325	1167
218	326	1165
219	328	1163
220	329	1162
221	331	1163
222	333	1161
223	334	1159
224	336	1157
225	337	1155
226	339	1154
227	340	1153
228	342	1152
229	343	1150
230	345	1148
231	346	1147
232	348	1145
233	349	1143
234	350	1142
235	352	1140
236	354	1141
237	355	1139
238	357	1137
239	358	1135
240	360	1135
241	361	1133
242	363	1131
243	364	1130
244	366	1128
